Duncan Robinson,163,131.62,0.2369,0.5638,2.6494,0.0988,-0.6658,-0.427,-0.6107,-0.5357,0.7466,An elite shooter who doesn't provide anything outside of the scoring and shooting categories
Mike Conley,72,95.2,-1.2064,0.7905,0.933,0.6433,-0.4274,1.4778,0.4641,-0.9983,-0.9243,"It was a season to forget for Conley, but his performance in the playoffs suggests he's going to bounce back"
Josh Richardson,77,94.33,-0.5482,0.4261,0.6105,0.2903,-0.5877,0.118,0.4885,0.7061,-0.7703,"Had a down season in Philly, but we know he's capable of more. I like the move to Dallas and he's somebody to target late in drafts"
Delon Wright,65,87.79,0.2096,0.0868,-0.7257,-0.6229,0.148,0.9159,1.5144,-0.2678,0.1422,"The steals are playing time are available in Detroit, but his value tends to hover around the end-of-roster territory"
Evan Fournier,100,119.5,-0.3515,0.6425,1.2671,0.6762,-0.9001,0.3765,0.4641,-0.8035,-0.3911,Should be available late in fantasy drafts and is a stable source of production in PTS and 3PM
OG Anunoby,161,136.28,0.2534,-0.5215,-0.0922,-0.2934,0.2425,-0.4551,1.5877,0.5113,0.1541,"Has the potential to be a top-100 staple as he continues to develop his game, mostly because of his defensive numbers"
Serge Ibaka,107,106.95,1.5064,-0.8355,-0.2419,0.3703,1.4344,-0.6125,-0.9771,0.6818,-0.5451,"Added a three-point shot to his game, which will help extend his career. Should be returning top-100 value in LA"
Nerlens Noel,166,140.87,1.2405,-0.6205,-1.7509,-0.8943,0.4521,-0.7979,0.7084,2.7515,0.2726,"It looks like the starting spot at C could be in play, but even if it is, it'll still be a minutes split between Noel and Robinson"
Maxi Kleber,219,140.61,0.6312,0.3789,0.3341,-0.4283,0.3535,-0.6012,-1.4411,1.6558,0.7466,"A good streaming option, but not somebody to rely on"
Derrick Rose,120,120.45,0.7025,0.9975,-0.7142,0.6841,-1.0111,1.3485,-0.2443,-0.5113,-1.1376,"Will Derrick Rose continue to shoot 49% from the field this season? Probably not, but he provides great value for somebody who can be had late in drafts"
Steven Adams,56,68.0,2.5772,-2.701,-1.7509,-0.2918,1.9194,-0.0787,-0.1954,1.461,-0.237,"Didn't live up to most people's expectations last season, and his scoring is trending in the wrong direction, but he's still a good fantasy player in punt FT% builds and you won't have to draft him early"
JJ Redick,177,139.31,-0.0404,1.7575,1.9467,0.4362,-0.8878,-0.236,-1.4411,-0.7792,0.3555,"Will provide much-needed outside shooting for New Orleans this season, but at this point in his career, he doesn't offer much outside of 3PM, PTS, and FT%"
Lou Williams,75,86.06,-1.1397,2.0454,0.1037,0.6904,-0.7521,1.5789,-0.5862,-0.8279,-1.3035,"Is a walking bucket, but his fantasy production is tied to 4 categories and doesn't provide any defensive stats"
Jerami Grant,69,82.1,0.3281,-0.2151,0.1958,0.1522,-0.1521,-0.6125,-0.2198,1.1688,0.5214,The transition to a starting role we've all been waiting for looks likely to happen in Detroit
Rui Hachimura,110,119.34,0.2515,0.8153,-0.8755,0.2667,0.933,-0.236,0.2931,-0.7305,0.1422,"He's still a little raw, but he's the best young player on the roster, so he'll continue to see minutes"
Otto Porter Jr,106,124.33,-0.0156,0.0859,0.4377,0.1224,-0.3905,-0.2248,0.7084,-0.1217,0.4859,Otto's value is at an all-time low after a horrible 2019-20 season. Has proven to be a stable fantasy player in prior seasons and could provide value on draft day
Markelle Fultz,89,111.28,-0.1599,-0.0814,-0.5875,0.1726,-0.4439,1.7081,0.9771,-0.7548,-0.7347,"If we're starting with a clean slate and treated last season as his rookie season, then he's off to a good start, and he has shown signs of becoming a good rotation player"
Terry Rozier,115,128.69,-0.9277,1.1433,1.1289,0.3828,-0.5096,0.2697,0.1466,-0.8766,-0.6162,Potentially moves to the bench and is a chance to get traded given how crowded Charlotte is at the guard spot
PJ Washington,117,131.97,0.092,-1.2004,0.288,0.2416,0.4398,-0.1124,0.1466,0.8035,-0.4266,Has a nice overall game without being a standout in any category. Should continues to increase his output heading into season two
Aaron Gordon,84,90.33,-0.5962,-1.0029,-0.1152,0.3169,1.2741,0.7192,-0.1954,0.1948,-0.0948,"Don't mind me, I'm just here waiting for Aaron Gordon to remember how to play basketball again"
Devonte' Graham,66,81.57,-2.6515,0.7091,1.7394,0.3828,-0.7521,1.8711,0.4152,-0.8522,-1.2087,"Started the season red hot, but started to slow down once teams focused on him as Charlotte's best offensive weapon. Won't get as much attention this season with Hayward on the roster, but his production is expected to dip with such a crowded guard rotation"
DeAndre Jordan,130,133.62,2.6505,-0.9044,-1.7509,-0.7406,2.1084,-0.4046,-1.4656,1.0227,0.1659,"Will be splitting minutes with Allen this season, but should still be able to produce respectable rebounding numbers if you're desperate for them"
Bogdan Bogdanovic,125,121.41,-0.2994,0.0526,1.221,0.215,-0.6247,0.4214,0.3664,-0.8279,-0.0948,Has a well-rounded fantasy game and should be locked in as a starter for Atlanta
Ivica Zubac,101,124.59,2.2228,-0.4571,-1.7509,-0.3562,1.5125,-0.6012,-1.5633,1.3149,0.474,"Is capable of being a top 100 player, but his minutes are capped with Ibaka's ability to play C"
Alec Burks,185,140.99,-1.2405,1.5289,0.1958,0.08,-0.0493,0.3203,0.1954,-0.5844,-0.0356,
Davis Bertans,129,135.56,-0.5699,0.4427,1.9352,0.0439,-0.3617,-0.5787,-0.7084,-0.0243,0.711,"Flirted with top-80 value last season, mostly because of his 3.7 three-pointers made per game. His ceiling is capped until he starts contributing to non-shooting categories"
Julius Randle,71,80.68,0.1587,-1.0884,-0.4032,0.8017,1.8536,0.2978,-0.2687,-0.5844,-1.6472,"Thibs has a habit of playing guys he likes heavy minutes, but the fit with Toppin isn't ideal for him"
Kevon Looney,323,140.03,1.1232,-0.3195,-1.7509,-0.7515,0.8672,-0.1798,1.0015,0.2922,0.2844,"There's plenty of room for improvement, but he has the opportunity to cement himself as a 22-24 minute per game starter"
Marvin Bagley III,128,130.67,0.4323,0.2398,-1.2556,0.2557,1.3686,-0.9159,-0.8549,1.0957,-0.1185,"We're starting to see a concerning pattern with Bagley. He gets hurt, comes back and does some nice things, and then misses more games. He has the potential to be a walking double-double, but he needs to find a way to stay on the court"
Danilo Gallinari,95,97.95,-0.2911,2.153,0.933,0.1883,-0.3083,-0.545,-0.8549,-1.0714,0.474,"Capable of giving you a quality return in PTS and FT%, but Atlanta isn't a great fit. He's not mobile enough to play SF full time, and Atlanta already has a quality starting PF"
Killian Hayes,121,133.46,-0.7288,0.6781,-0.6911,0.0973,-0.6946,1.9441,0.7084,-0.7305,-1.3035,"Landed in the absolute best spot in terms of fantasy production, and should be the opening night starter on a team starting their re-build"
Nemanja Bjelica,156,140.87,0.51,0.1656,0.1613,-0.444,0.3,-0.0337,-0.4885,-0.0243,0.3911,"A stop-gap until Bagley works things out, but he has value in the short-term as a streaming option"
Marc Gasol,154,137.19,-0.4243,-0.2326,-0.2189,-0.8441,0.6453,0.4945,-0.1954,0.9496,0.2607,"Might get the gentleman's start at C, but I can't see him playing enough minutes to crack the top-100"
Blake Griffin,123,106.93,-0.3593,-0.2412,0.1037,0.5162,1.0193,0.6181,-0.9038,-0.2191,-1.2206,"His value is at an all-time low, and it's questionable how his body will hold up this season, but he's still capable of putting up numbers without relying on athletisism (averated 2.5 3PM in 2018-19 and 1.5 last season)"
Patrick Beverley,184,139.69,-0.4068,-0.4639,0.1728,-0.7343,0.2754,0.708,0.6107,-0.0243,0.2252,"He's the perfect PG for this Clippers roster, but at this point in his career, he doesn't have much upside in fantasy"
Donte DiVincenzo,82,108.33,-0.064,-0.1854,-0.1152,-0.4487,0.2014,0.0112,1.2702,-0.487,0.0237,"He's proving to be a good end-of-roster 3s and steals guy, but he doesn't do enough in other categories"
Tyler Herro,88,76.14,-1.0465,0.9615,1.175,0.4079,-0.0247,0.0169,-0.513,-0.7305,-0.3437,"Should be playing 30+ minutes a night heading into season two, but chances are he'll be over-drafted due to his playoff run"
Paul Millsap,167,139.59,0.4153,0.4711,-0.4953,-0.2495,0.3535,-0.5169,-0.0244,0.1461,0.2015,Not much long-term appeal here as he's clearly in the twilight of his career
